"PRODUCT NUMBER","PRODUCT NAME","PRODUCT DESCRIPTION","PRODUCT BRAND","PRODUCT LINE","PRODUCT TYPE","PRODUCT COLOR","PRODUCT SIZE","INTRODUCTION DATE"
"52110","Granite Pulley","Light, simple and strong, a great all purpose pulley.","Granite","Mountaineering Equipment","Climbing Accessories","Black","Unspecified","2011-01-10 00:00:00.000000"
"37110","EverGlow Double","Light output approximates a 175 W bulb. Double mantle regulated. Porcelain dome. Uses 0.5 liter propane cylinder (not included).","EverGlow","Camping Equipment","Lanterns","Black","8-hour","2003-03-05 00:00:00.000000"
"38110","EverGlow Kerosene","One of the most dependable sources of light in an emergency, this lantern is always ready and doesn't need to be recharged. Cotton wick. Height: 30 cm.","EverGlow","Camping Equipment","Lanterns","Silver","25-hour","2003-03-05 00:00:00.000000"
"39110","EverGlow Butane","Adjustable brightness control with auto ignition. Safely stores in its own protective case.  Approximate burn time 5 hours on one 0.25 liter butane canister, included.","EverGlow","Camping Equipment","Lanterns","Blue","5-hour","2003-03-05 00:00:00.000000"
"40110","EverGlow Lamp","Perfect for in your tent, this lamp comes with a 6V battery.  Complete with shade and hanging hook.","EverGlow","Camping Equipment","Lanterns","Black","5-hour","2001-02-15 00:00:00.000000"
"41110","Flicker Lantern","Simple to use, just requires a candle to be inserted and lit.  Windproof, lasts for hours.","Firefly","Camping Equipment","Lanterns","Orange","8-hour","2011-01-10 00:00:00.000000"
"68120","Polar Sun","The Polar Sun sunglasses have 3 mm thick lenses, which makes excellent protective eyewear for sport and safety.","Polar","Personal Accessories","Eyewear","Blue","Men's","2011-01-01 00:00:00.000000"
"68190","Polar Sun","The Polar Sun sunglasses have 3 mm thick lenses, which makes excellent protective eyewear for sport and safety.","Polar","Personal Accessories","Eyewear","Blue","Women's","2011-01-01 00:00:00.000000"
"68200","Polar Sun","The Polar Sun sunglasses have 3 mm thick lenses, which makes excellent protective eyewear for sport and safety.","Polar","Personal Accessories","Eyewear","Red","Men's","2011-01-01 00:00:00.000000"
"68220","Polar Sun","The Polar Sun sunglasses have 3 mm thick lenses, which makes excellent protective eyewear for sport and safety.","Polar","Personal Accessories","Eyewear","Yellow","Women's","2011-01-01 00:00:00.000000"
"68230","Polar Sun","The Polar Sun sunglasses have 3 mm thick lenses, which makes excellent protective eyewear for sport and safety.","Polar","Personal Accessories","Eyewear","Red","Women's","2011-01-01 00:00:00.000000"
"68240","Polar Sun","The Polar Sun sunglasses have 3 mm thick lenses, which makes excellent protective eyewear for sport and safety.","Polar","Personal Accessories","Eyewear","Silver","Men's","2011-01-01 00:00:00.000000"
"1110","TrailChef Water Bag","Lightweight, collapsible bag to carry liquids easily.  Wide mouth for easy filling.  Holds 10 liters.","TrailChef","Camping Equipment","Cooking Gear","Clear","10 liters","2001-02-15 00:00:00.000000"
"2110","TrailChef Canteen","Aluminum canteen. Rugged fleece-lined cover with belt clips, removable shoulder sling and small pocket for water purification tablets bottle. Holds 2 liters","TrailChef","Camping Equipment","Cooking Gear","Brown","2 liters","2001-02-15 00:00:00.000000"
"3110","TrailChef Kitchen Kit","Zippered nylon pouch contains cutlery for two, can opener, wire whisk, scrubber sponge, 2  60 ml squirt bottles, pancake turner and salt and pepper shaker.  Measures 10 x 22 x 5 cm.","TrailChef","Camping Equipment","Cooking Gear","Unspecified","15-piece","2001-02-15 00:00:00.000000"
"4110","TrailChef Cup","Tin cup. Holds 0.4 liters. Weight: 60 g","TrailChef","Camping Equipment","Cooking Gear","Silver","330 ml","2001-02-15 00:00:00.000000"
